,Phone Name,Rating ?/5,Number of Ratings,Back/Rare Camera,Front Camera,Processor,Price in INR,Date of Scraping,Company Name,Ram_size,Storage_size,Battery_size
1123,"Mi 10T (Lunar Silver, 128 GB)",4.1,3657,64MP + 13MP + 5MP,20MP Front Camera,Qualcomm Snapdragon 865 Processor,24996,2023-06-17,Mi,8.0,128,5000
1124,"Mi 11X (Cosmic Black, 128 GB)",4.2,2930,48MP + 8MP + 5MP,20MP Front Camera,Qualcomm Snapdragon 870 Processor,22990,2023-06-17,Mi,6.0,128,4520
1125,"Mi A3 (Not just Blue, 128 GB)",4.2,15294,48MP + 8MP + 2MP,32MP Front Camera,Qualcomm Snapdragon 665 Processor,16599,2023-06-17,Mi,6.0,128,4030
1126,"Mi 11X Pro 5G (Celestial Silver, 128 GB)",3.9,504,108MP + 8MP + 5MP,20MP Front Camera,Qualcomm Snapdragon 888 Processor,34999,2023-06-17,Mi,8.0,128,4520
1127,"Mi 10T (Cosmic Black, 128 GB)",4.1,3657,64MP + 13MP + 5MP,20MP Front Camera,Qualcomm Snapdragon 865 Processor,37999,2023-06-17,Mi,8.0,128,5000
1130,"Xiaomi 11i 5G (Purple Mist, 128 GB)",4.2,21766,108MP Rear Camera,16MP Front Camera,Mediatek Dimensity 920 Processor,26999,2023-06-17,Mi,8.0,128,5160
1131,"Xiaomi 11Lite NE (Diamond Dazzle, 128 GB)",4.2,3576,64MP + 8MP + 5MP,20MP Front Camera,Qualcomm Snapdragon 778G Processor,24990,2023-06-17,Mi,6.0,128,4250
1132,"Mi 11X Pro 5G (Lunar White, 128 GB)",3.9,504,108MP + 8MP + 5MP,20MP Front Camera,Qualcomm Snapdragon 888 Processor,28799,2023-06-17,Mi,8.0,128,4520
1135,"Redmi Go (Black, 16 GB)",4.3,167942,8MP Rear Camera,5MP Front Camera,Qualcomm Snapdragon 425 Processor,5999,2023-06-17,REDMI,1.0,16,3000
1136,"Mi 11X (Celestial Silver, 128 GB)",4.2,2433,48MP + 8MP + 5MP,20MP Front Camera,Qualcomm Snapdragon 870 Processor,32990,2023-06-17,Mi,8.0,128,4520
1137,"Mi 11X (Cosmic Black, 128 GB)",4.2,2433,48MP + 8MP + 5MP,20MP Front Camera,Qualcomm Snapdragon 870 Processor,34499,2023-06-17,Mi,8.0,128,4520
1138,"Mi 11X (Lunar White, 128 GB)",4.2,2433,48MP + 8MP + 5MP,20MP Front Camera,Qualcomm Snapdragon 870 Processor,25990,2023-06-17,Mi,8.0,128,4520
1139,"Mi 11X (Lunar White, 128 GB)",4.2,2930,48MP + 8MP + 5MP,20MP Front Camera,Qualcomm Snapdragon 870 Processor,24999,2023-06-17,Mi,6.0,128,4520
1141,"Redmi Note 7S (Sapphire Blue, 64 GB)",4.4,422922,48MP + 5MP,13MP Front Camera,Qualcomm Snapdragon 660 AIE Processor,13999,2023-06-17,REDMI,4.0,64,4000
